类别,百科名,百科内容
章程相关词条,录取线和最低控制分数线的区别,"<div class=""baikeArticle"">
							<p>　　最低控制分数线不等同于录取线的涵义，即考生成绩超过了控制线也不意味着一定被录取，这就和学校的录取分数线有关系了。</p><p>　　如果报考的考生人数超过了学校的计划数，而且分数普遍都高，录取分数线可能要高于最低控制线。反之，如果某校的报考人数与计划数持平或低于计划数，录取分数线即为最低控制线。</p><p>　　此外，学校可以根据生源情况对本校招生计划进行调剂。例如A专业的生源情况非常好而B专业的生源不理想，学校可以进行计划调剂。所以，即便是分数相同报考学校相同的两个考生，如果专业不同又没有填写服从调剂，很可能就产生有人被录取有人落榜的现象。</p><p>　　考生中最常提及的分数线实际上是指录取最低控制分数线，这个分数线是由高校招生委员会根据全部考生的成人高考成绩和招生学校安排的招生计划数分考试科类来划定。此外，学校在录取工作中，会依照本校计划和专业报考考生的成绩划定学校的录取分数线，不同的专业录取分数线有所不同。</p>
							</div>"
章程相关词条,重点线,"<div class=""baikeArticle"">
							<p>　　重点线，又叫第一批录取院校的控制分数线。</p>
							</div>"
章程相关词条,提档率,"<div class=""baikeArticle"">
							<p>　　提档率：院校调阅考生档案数量的比值，一般控制在120%以内。提档率在不超过1:1.2的范围内，由学校自主确定，并在招生章程中详细说明。提档率对于志愿填报具有重大参考意义。例如，有的学校把退档率定位1:1.03，这就意味着这样的院校以少退或不退为原则，考生一旦被投档，退档的概率非常小。</p>
							</div>"
章程相关词条,志愿优先,"<div class=""baikeArticle"">
							<p>　　志愿优先是高校录取学生和分配专业的一种录取方法。在志愿优先的录取方法下，那个学生先被录取，那个学生后被录取，取决于学生报考的意向。这就象我们去电影院去买票，你排在你希望观看的电影的售票窗口。你能够看上电影，取决于在你前面的人数，如果人多，你就买不上了，如果人少，你就能买上票。因此如果你去热门电影的窗口，就有可能买不上票，这种录取方法适用于学生被高校录取和进入高校后的专业分配。</p>
							</div>"
章程相关词条,专业清原则,"<div class=""baikeArticle"">
							<p>　　很多院校在录取时，采用专业清的原则。专业清是指院校在录取时遵循志愿优先的原则，先按照所有考生的第一专业分别排队，在每个专业队列中再根据分数高低确定录取顺序，未被录取的再看第二专业志愿，以此类推。</p>
							</div>"
章程相关词条,院校录取梯度,"<div class=""baikeArticle"">
							<p>　　院校梯度是指，在同一批次的院校中，在录取时形成的分数之间的差异，这种分数高低的差异就称""院校梯度""。如，同是""211""或""985""工程的院校，而北京大学和清华大学每年在各地的录取分都要比其他院校高，它们和其他院校之间的分数差异可以说就是一种院校梯度的体现。</p>
							</div>"
章程相关词条,志愿级差分,"<div class=""baikeArticle"">
							<p>　　志愿级差分又称学校级差分，是指高校在录取第一志愿考生和第二志愿考生时最低录取控制分数线的分数差。即：第二志愿考生按减去志愿级差分后的分数作为学校排分来确定录取。</p>
							</div>"
章程相关词条,顺序志愿,"<div class=""baikeArticle"">
							<p>　　顺序志愿是指在同一个录取批次设置的多个院校志愿有先后顺序，其表述方式为：第一志愿、第二志愿。例如一个第一志愿院校，一个第二志愿院校，计算机投档时将相同院校志愿的考生分别排队，然后根据分数从高到低向对应的院校投档。</p>
							</div>"
章程相关词条,小平行志愿,"<div class=""baikeArticle"">
							<p>　　所谓小平行，就是顺序志愿与平行志愿的结合，既顺序志愿+平行志愿的投档办法。在某一个批次内，设置3--4个志愿，第一志愿按志愿+分数投档，即顺序志愿投档;其他志愿按分数投档，即平行志愿投档。</p>
							</div>"
章程相关词条,平行志愿,"<div class=""baikeArticle"">
							<p>　　所谓平行志愿，是指在某个录取批次设置的多个院校志愿均为并列志愿。其表述方式一般是按字母顺序排列的多个志愿，如A志愿、B志愿、C志愿、D志愿;考生填报的几个院校志愿均为第一志愿。</p><p>　　平行志愿与传统志愿的根本区别在于投档方式上的区别。平行志愿改变了传统的志愿优先的投档原则，首先按照分数将考生排序，然后按顺序依次检索考生所填报的志愿，一旦出现符合投档条件的学校，即向该学校投档，体现了分数优先，遵循志愿的原则。</p>
							</div>"
章程相关词条,招生计划,"<div class=""baikeArticle"">
							<p>　　具有统招资格的高等学校根据国家社会经济发展的需要，在国家核定的年度招生规模内，结合近几年来毕业生就业情况和各省(直辖市、自治区)的生源情况，调整招生专业结构、层次结构、区域结构，自主合理地安排生源计划。安排跨省(直辖市、自治区)招生的招生学校，可以预留少量计划，用于调节各地统考上线生源不平衡等问题。</p>
							</div>"
章程相关词条,高水平大学自主选拔测试,"<div class=""baikeArticle"">
							<p>　　高水平大学自主选拔学业能力测试&amp;rdquo;的前身是由上海交通大学、中国科学技术大学、西安交通大学、清华大学、南京大学于2010年推出的五校联考的通用测试部分。</p><p>　　五校联考自从当年推出后，社会反映强烈、参加自主招生的考生可选择余地扩大又避免的来回奔波，受到了考生和家长的广泛认同，五所高校的自主招生报名人数也翻番。2011年，随着浙江大学的加入，五校联考的通用测试通用测试正式定名为&amp;ldquo;高水平大学自主选拔学业能力测试(Advanced Assessment for Admission,简称AAA测试)，由高校共同委托专业考试机构执行;AAA测试成绩将在六校内互认，高校特色测试成绩也可在六校间彼此参考，面试时间也将尽量协调，使得学生有更多的选择机会。从今年开始，六校还决定将继续推进社会公平，并将继续减免部分考生的考试报名费，资助部分考生面试交通费。</p>
							</div>"
章程相关词条,﻿招生章程,"<div class=""baikeArticle"">
							<p>　　招生章程是高等学校向社会公布有关信息的主要载体，是其开展招生工作、录取新生的重要依据，也是应用写作研究的文体之一。</p><p>　　《招生章程》是高等学校依据《中华人民共和国教育法》、《中华人民共和国高等教育法》和教育部相关规定，结合本校实际情况，制定出当年的《招生章程》。 <br></p><p>　　《招生章程》内容一般包括：高等学校全称、校址(分校、二级学院、校区等须注明)，层次(本科、高职或专科)，办学类型(如普通或成人高等学校、公办或民办高等学校、高等专科学校或者高等职业技术学校等)，学习形式(全日制、网络教育等)，分专业招生计划及说明，外语考试语种要求，录取男女生比例，身体健康状况要求，录取规则等。它是高校向社会公布的法规性文件，学校依据事先向社会公布的《招生章程》进行招生。</p><p>　　各级招生部门依据《招生章程》对高校进行有效监督，不仅增加了学校招生的透明度，同时也增加了考生的知情权，在一定程度上缓解了学校和考生之间在填报志愿时信息不对称问题。因此，对于考生和家长而言，《招生章程》是考生填报志愿的重要依据。考生在填报志愿前，一定要对这些内容进行详细了解。</p>
							</div>"
录取相关词条,艺术特长生与艺术生的区别,"<div class=""baikeArticle"">
							<p>　　1、招生目的不同。艺术类是高等艺术院校或者普通高校为培养艺术专业人才，通过高考招收的艺术考生。艺术特长生是高校为了活跃校园氛围，提升学生艺术素质水平，通过高考招收的有艺术特长的考生。</p><p>　　2、报考专业不同。艺术类考生报考的是艺术院校或者高校中的艺术类专业，这些专业主要包括音乐学、作曲与作曲技术理论、音乐表演、绘画、雕塑、美术学、艺术设计学、艺术设计、舞蹈学、舞蹈编导、戏剧学、表演、导演、戏剧影视文学、戏剧影视美术设计、摄影、录音艺术、动画、播音与主持艺术、广播电视编导等等，属文学学科门类，学生本科毕业授予文学学士学位。艺术特长生要报考的是高校普通本科专业，如法学、经济学、工商管理、计算机，等等。根据不同的学科门类，学生本科毕业授予不同的学士学位。</p><p>　　3、招生人数不同。普通高校艺术类专业招生人数大于艺术特长生的招生人数。近年来，艺术类专业招生报考持续升温，各地报考艺术类考生人数持续增长，全国艺术类专业报考人数已经超过百万，每年被录取的艺术考生也达到了20万人以上。而艺术特长生的招生人数不能超过高校本科招生计划总数的1%，招生人数是很有限的。</p><p>　　4、招生政策不同。艺术类考生须获得省统考合格证方可填报相关艺术院校(专业)志愿。报考省统考未涉及的专业,考生须获得校考合格证后方能填报相关艺术院校(专业)志愿。报考艺术特长生的考生须符合普通高校报名的基本条件和各项要求，具有一定的艺术特长，要参加全国普通高校统一招生考试。<br></p>
							</div>"
录取相关词条,政策性加分对排名影响,"<div class=""baikeArticle"">
							<p>　　在这里提醒大家，实际上高考加分对于你来说影响不会很大。高考不是以分数作为录取标准的，而是以考生位次作为录取标准。这个该怎么理解?</p><p>　　今年的600分和去年的600分两者之间没有任何可比性，因为试卷不同、难度不同、区分度不同。但你会发现，今年考600分处于全省的名次和去年考某一个分数的名次可能是相同。</p><p>　　位次是可以作为衡量标准的，高校录取看的不是大家的分数，而看的是位次。我解释一下""位次""，所有排在你名次之前的同学加分，跟你没有直接关系。</p><p>　　他们的加分将会让他们之前的学生进行位次的变化;在你位次后面10分的同学的加分也跟你同样没有关系。不管怎么加分，名次始终排在你后面。</p><p>　　对于你产生影响的这部分同学，是你考分数后面10分以内的同学，他们一旦加了10分就超过你了。这10分究竟是什么样的概念呢?大部分身份的高考成绩是一个梭型的，高分考生会很少，超低分考生也会很少。</p><p>　　如果你处在两头，你就会发现对你的影响微乎其微，因为考生人数非常少。这5分或者10分，哪怕超越你，很有可能也就是超过几百人，影响就不会很大。</p><p>　　如果你的加分是在中间这一部分，很有可能1分牵扯到几万人，如果加了5分或者10分，就意味着他超越了十万，甚至是二十万名同学，他就多了很多机会。</p><p>　　如果对于那些超高分、超低分的同学来说，加分不足以让你愤慨，因为对你的影响不大。但是对学习成绩中游，刚刚处于本科线或者重点线的同学来说，别人的加分对你的影响就很大。</p><p>　　各个高校对政策性加分有着不同的政策，有的高校在面对高考政策性加分叫""一加到底""，就是当你的加分，一旦加到原始分之后，不管是分专业还是提档，你的加分将会始终保留，这个分将会和你的原始分组成一个新的高考分数。</p><p>　　还有一些学校明确指出，高考政策性加分只在提档时认可，在排队分专业时不再认可了。这部分同学就会很危险，因为我们刚才说过，高校的提档比例为1：1.2，后20%的同学也不见得会被高校录取。</p><p>　　你设想一下，如果加上了这10分，你被高校提档了，但是在分专业的时候，这10分减掉了，意味着一下把你降到最后一名。在这种情况下，你就没有被高校录取的可能性了。</p><p>　　所以高考加分不可能万事大吉，你要查一下各个高校对政策性加分有什么确切的政策。这个政策从哪里查?就是高校简章，高校的招生简章将会对政策性加分有明确说明。所以在这里要提醒大家一定要认认真真研究。</p>
							</div>"
录取相关词条,征集志愿与补录的区别,"<div class=""baikeArticle"">
							<p style=""text-align: left;"">　　征集志愿，是在招生过程中，原报考这个志愿的人数不够，只能通过再征集志愿，才能录取到计划招生的人数。而补录是在开学后，录取的学生放弃这个学校，在校生人数没有达到招生计划，再补充录取学生就叫补录。</p><p style=""text-align: left;"">　　其实在志愿录取期间，补录志愿与征集志愿的概念基本上是一样的，只是一般在录取结束新生开学时期的的补录，不再使用征集志愿的说法。</p>
							</div>"
录取相关词条,全日制,"<div class=""baikeArticle"">
							<p>　　全日制的是一种全天候教学的体制，是""全日制教育""的简称。意思是通过国家统一组织的每年6月(原为7月)的统一高等院校入学考试，各高校通过省一级招办录取进入各高校就读而获得的学历。学生入学约两个月之后在高等教育网上能够查到学籍，如果不能查到学籍就不是普通高校全日制的学生。毕业的时候毕业证、学位证是国家教育部认可的，学习期间必须转档案，一般还需转户口关系等。而非全日制学历教育包括网络教育、自考。各地民办院校和党校(非参加成教招生和研究生统招)颁发的毕业证书，学历同样得到认可，享受相同待遇。</p>
							</div>"
录取相关词条,分数优先（就专业录取而言）,"<div class=""baikeArticle"">
							<p>　　分数优先原则就是将该校调档线上所有学生按高考分数由高到低进行排队，依次按考生所报专业志愿确定录取专业，如果考生所报第一专业已满，顺序考虑这个考生所报第二专业，如果所报几个专业都不能录取，服从专业调剂的考生，有可能被调剂到别的专业，未服从专业调剂的考生被作退档处理。</p>
							</div>"
录取相关词条,征集志愿,"<div class=""baikeArticle"">
							<p>　　征集志愿是指对于第一批至第四批第一志愿录不满额的院校，在每批次第一志愿录退完成后，由省教育考试院向社会公布院校招生缺额计划，考生再根据缺额计划在当地招生办填报征集志愿，这样使得第一志愿录取时落选的考生有第二次重新填报志愿的机会。</p>
							</div>"
录取相关词条,定向招生,"<div class=""baikeArticle"">
							<p>　　定向招生是指：在招生时就明确毕业后的就业方向的招生办法。其目的是为了鼓励学生到农村及比较艰苦的地区工作，农业、林业、矿业、地质、煤炭、石油、水电、建材、气象、测绘、轻工、司法等部以及国防军工系统所属的某些学校可分别按隶属关系面向农场、牧场、林场、矿区、油田、野外地质队、水电施工基地、气象台站、盐场、劳改劳教场所和国防军工三线等地区招生，毕业后到这些单位和地区工作。</p><p>　　省、自治区、直辖市可在所属高等学校国家任务招生计划中，确定适当比例，实行""定向招生、定向分配""。</p>
							</div>"
录取相关词条,分数优先（就院校录取而言）,"<div class=""baikeArticle"">
							<p>　　分数优先原则就是将所有的未录取的学生按高考分数由高到低进行排队，依次按考生所报学校志愿确定录取学校，如果考生所报第一学校已满，顺序考虑这个考生所报第二学校，如果所报几个学校都不能录取，考生这一个批次的志愿就落空了。</p>
							</div>"
录取相关词条,“大小年”现象,"<div class=""baikeArticle"">
							<p>　　高校招生中，存在一种所谓大小年的现象，就是某个或某些学校的报考人数不稳定，起伏较大。某一年填报该校的人数比计划招生数高出许多倍，直接结果是当年的录取分被抬得很高，这一年称之为大年。由于上一年录取分高，竞争异常激烈，使下年许多考生望而却步，不再报考该校了，带来的结果是参与竞争的人少，录取分相应就降下来，我们将其称之为小年。再下一年的考生看到头一年的录取分不高，可能报考的人又多了如此循环，报考人数和录取分出现起伏，就形成了所谓的大小年现象。</p>
							</div>"
录取相关词条,体育特长生,"<div class=""baikeArticle"">
							<p>　　体育特长生又叫高水平运动员招生，是指经过教育部批准的招生高校根据本校高水平运动队项目的建设需要，推进素质教育，从参加全国普通高校统一招生考试的学生中特招有体育项目特长且又符合高等学校年度招生工作规定的学生。另外还招收具有高级中等教育毕业同等学力，获得国家一级运动员(含)以上证书者或近3年内在全国或国际集体项目比赛中获得前八名的主力队员，这都属于体育特长生的范围。</p>
							</div>"
录取相关词条,补录原因,"<div class=""baikeArticle"">
							<p>　　造成高校补录的原因主要有两个：一是部分院校在第一次招生时填报该校的人数太少，没有达到当年招生计划数目；二是第一次录取人数达到了计划名额，但到开学时部分学生未去报到，被自动取消入学资格，从而就有一部分名额空出。</p><p>　　各省每年的补录时间是根据当地具体情况而定，通常会有两个时间段：一是暑假期间，在第一次招生录取所有批次结束后，部分未招满的学校会进行补录；二是在九月份也就是部分大学开学以后，因部分被录取考生没有到校报到，被取消录取资格而空出名额时，部分学校也会进行补录。</p><p>　　在高校确定要补录后，会把信息上报教育主管部门，教育主管部门在收集完信息后，会将要补录的学校名单下逐级下发，直到各县级招办。届时各省招办和县招办都会发出补录通知，同时落榜考生也需要自己随时留意补录信息动态。</p><p>　　补录也需要填报志愿。有补录意向的考生，可以在补录通知发出以后，去县招办查询补录学校名单，并在县招办规定时间内填写志愿并上交。补录只分两个批次：即本科批次和专科批次。本科志愿先填报，结束后才进行专科志愿填报。需要注意的是并不是所有学校都会进行补录，补录本科院校多为二本、三本、民办，补录专科院校多为独立学院、民办高校及职业技术学院。在补录时各院校会根据实际情况调整录取分数线，也就是说录取分数可能低于第一批次，且有分数线升降幅度较大的可能性，因此补录是落榜考生的又一次机会。</p><p>　　志愿上报后，各补录学校会根据各自招生要求，录取符合条件的考生，并下发录取通知书，考生在查证被录取后，即可带着录取通知书到校报到。补录考生和第一批录取考生进校后享受同等待遇。补录的时候也需要填志愿，一般到时候各省的招生办就会发出通知，告诉考生哪些学校会进行补录，这时候你如果没有录取上就可以填这些学校。</p>
							</div>"
录取相关词条,自主招生联盟名单,"<div class=""baikeArticle"">
							<p>　　北约联盟（十一校）华约联盟（七校）卓越联盟（九校）京都五校联盟</p><p>北京大学，清华大学，天津大学，北京科技大学，香港大学，上海交通大学，北京理工大学，北京交通大学，北京航空航天大学，中国科学技术大学，大连理工大学，北京邮电大学，北京师范大学，南京大学，东南大学，北京林业大学，华中科技大学，浙江大学，哈尔滨工业大学，北京化工大学，武汉大学，西安交通大学，华南理工大学，中山大学，中国人民大学，西北工业大学，厦门大学，重庆大学，山东大学，同济大学，四川大学，兰州大学</p>
							</div>"
录取相关词条,艺术类考生,"<div class=""baikeArticle"">
							<p>　　艺术类考生是指报考艺术类院校艺术专业或普通高校艺术专业的考生，这类考生与其他类型的考生不同，除了要参加高考外，还必须参加所报考学校或者本地区组织的专业考试。该类考生必须是专业考试合格且高考成绩达到该院校录取分数线才能被录取。我们常说的表演、美术、音乐等都属于艺术类考生报考的专业，近年来，艺术类专业招生非常火爆，报考人数年年增加。</p>
							</div>"
录取相关词条,补录,"<div class=""baikeArticle"">
							<p>　　补录是在高考正常录取顺序结束后，部分院校进行的第二次招生录取。补录是一些院校在第一次招生的时候因为填该学校的人少，没有招满，然后进行的第二次录取。  补录的时候也需要填志愿，一般到时候各省的招生办就会发出通知，告诉考生哪些学校会进行补录，这时候你如果没有录取上就可以填这些学校。</p>
							</div>"
录取相关词条,自主招生四大联盟,"<div class=""baikeArticle"">
							<p>　　背景回顾自2003年开始推行自主招生改革试点以来，高校自主招生主要采取各校分别考试录取的方式。</p><p>　　2010年，清华大学等5所大学实行五校联考，统一命题，考试成绩共享并互相承认。2010年底，中国人民大学和浙江大学宣布加入五校联考。北京大学联合北京师范大学、南开大学、复旦大学等组成了13所学校参加的自主招生考试联盟。2010年12月，北京理工大学、天津大学等9所理工学科高校组成卓越联盟。再加上2006年就开始实行自主招生笔试联考的特校系，至此形成4大自主招生联盟。4大联盟4大联盟分别为北约、华约、卓越和京都。各联盟都统一进行初试。选拔条件和认定方式由各校自主确定。</p><p>　　北约联盟有北京大学、北京航空航天大学等11所高校，基本是以文理医工见长的综合性大学，在历史传统、精神文化，特别是人才培养理念和培养目标上有相似之处。</p><p>　　华约由清华大学、中国人民大学等7所高校组成。这些学校办学层次、水平相近，采取通用测试、高校特色测试和高校面试的模式进行自主选拔。通用测试由高校共同委托专业考试机构进行，成绩在7校内互认。高校特色测试成绩可在7校间彼此参考。</p><p>　　卓越由北京理工大学、哈尔滨工业大学等9所高校组成。9校在自主选拔录取中采用了联合初试、自主选拔的方式。</p><p>　　京都包括北京科技大学、北京交通大学、北京邮电大学、北京林业大学、北京化工大学5所高校，这些学校行业特色鲜明。5校笔试联考始于2006年。申请学校数量华约的7所学校通过统一网站进行报名。考生可同时申请2所学校，如果初试成绩没有达到所申请学校的要求，还可以向第3所学校申请北约&amp;rdquo;的考生最多可申请3所高校;卓越高校的自主选拔条件和认定由各招生学校自主决定。考生可同时填报9校中的2所高校;京都的考生只能选报1所高校。考查能力北约联考在考查考生基础知识的同时，更突出对考生视野以及综合运用知识的能力考查，更加突出对考生未来学习潜能的考查。希望招收视野开阔、思维活跃、具有独立思考与批判性思维能力、社会责任感强的优秀学生。</p><p>　　华约联考考查的重点不是考生通过大量训练获得的解题技巧，而是重点考查考生综合运用知识的创新潜质，特别是考查考生的创造力、想象力、鉴赏能力和学习能力。卓越选拔的考生要基础扎实、知识面宽、创新实践能力强，具有社会责任感、团队合作精神和卓越人才培养潜质。京都笔试主要考查考生的学习水平和综合能力。</p><p>　　考试内容华约的7所高校初试采用笔试形式，即高水平大学自主选拔学业能力测试，简称AAA测试。考试科目为阅读与写作(含中文和英文)、数学、自然科学、人文与社会。其中，阅读与写作、数学两科目为必考科目，考生根据自己情况在自然科学、人文与社会2个科目中任选一科。北约的考试科目包括语文、数学、英语、物理、化学、历史和政治。各校自行决定本校要求考查的科目及成绩使用方式，考生根据报考学校的要求自行选择考试科目。卓越的初试采用笔试形式，共设2个科目，分别为阅读与写作能力测试和数学物理水平测试，内容涵盖语文、英语、数学、物理等相关学科内容。京都的测试由5校联合命题，考试科目为语文、数学、英语和综合能力测试。</p>
							</div>"
录取相关词条,艺术特长生,"<div class=""baikeArticle"">
							<p>　　部分普通高校为活跃校园文化生活，推进学校素质教育，每年都会录取一些成绩达到一定要求，又有艺术专长的考生，艺术特长生报考的是本科普通高等院校，通过招生院校艺术水准测试，符合学校艺术特长生招生要求的考生，可在高考中享受降分录取的优惠政策。</p>
							</div>"
录取相关词条,投档,"<div class=""baikeArticle"">
							<p>　　投档又称调档，各地招办根据考生分数和各大学在该地调档比例把考生档案投放给招生学校。</p>
							</div>"
录取相关词条,招生计划人数,"<div class=""baikeArticle"">
							<p>　　具有统招资格的高等学校根据国家社会经济发展的需要，在国家核定的年度招生规模内，结合近几年来毕业生就业情况和各省(直辖市、自治区)的生源情况，调整招生专业结构、层次结构、区域结构，自主合理地安排生源计划。安排跨省(直辖市、自治区)招生的招生学校，可以预留少量计划，用于调节各地统考上线生源不平衡等问题。</p>
							</div>"
录取相关词条,免费师范生,"<div class=""baikeArticle"">
							<p>　　免费教育师范生是指报考教育部6所直属师范大学之一，有条件地接受免费师范教育的学生。2007年5月，国务院决定在教育部直属师范大学实行师范生免费教育。采取这一重大举措，就是要进一步形成尊师重教的浓厚氛围，让教育成为全社会最受尊重的事业;就是要培养大批优秀的教师;就是要提倡教育家办学，鼓励更多的优秀青年终身做教育工作者。</p><p>　　具体实施时间从2007年秋季入学的新生起，在北京师范大学、华东师范大学、东北师范大学、华中师范大学、陕西师范大学和西南大学六所部属师范大学实行师范生免费教育。通过部属师范大学的试点，积累经验，建立制度，为培养造就大批优秀教师和教育家奠定基础。</p>
							</div>"
录取相关词条,拟录取,"<div class=""baikeArticle"">
							<p>　　""拟录取""就是计划录取了，但是正式的通知还没有下来。相当于在录取前透露一个消息出来似的。就是调取档案，审查，只要档案不出问题，那就确定录取了。</p>
							</div>"
录取相关词条,大类招生,"<div class=""baikeArticle"">
							<p>　　大类招生，指的是按学科大类招生，是指高校将相同或相近学科门类，通常是同院系的专业合并，按一个大类招生。学生入校后，经过1～2年的基础培养，再根据兴趣和双向选择原则进行专业分流。</p>
							</div>"
录取相关词条,国防生,"<div class=""baikeArticle"">
							<p>　　国防生是指根据部队建设需要，由军队依托地方普通高校从参加全国高校统一招生考试的普通中学应届高中毕业生中(含符合保送条件的保送生)招收的和从在校大学生中选拔培养的后备军官。国防生在校期间享受国防奖学金，完成规定的学业和军政训练任务并达到培养目标，取得毕业资格和相应学位后，按协议办理入伍手续并任命为军队干部。</p>
							</div>"
录取相关词条,退档,"<div class=""baikeArticle"">
							<p>　　院校调阅考生档案数量一般控制在120%以内，由学校具体确定调档比例，考生录取与否及所录专业由学校决定，并负责对未录取考生的解释及其他遗留问题的处理。高校不会无缘无故地退掉高分考生而录取低分考生。一般高分考生被退档，有三种情况：一是考生的分数虽然高于学校的录取分数线，但未达到所报专业的录取专业分数线且又不服从调剂；二是虽然总分较高但相关科目较差；三是身体条件不符合所报专业的要求。如果考生被不合理地退档，应及时与有关高校联系。</p>
							</div>"
录取相关词条,政策性加分,"<div class=""baikeArticle"">
							<p>　　政策性加分即高考加分政策，是高考中的特长生加分政策，主要为了弥补高校招生制度的某些缺陷而制定的。教育部出台的2009年高考加分政策，有""增加20分投档""、""增加10分投档""和""优先录取""3种加分形式。参加高考的学生拥有体育、文艺等方面的专长，又经过了专业部门的测试，在考试成绩之外给予一定的加分，是在目前应试教育体制下，鼓励学生注重全面素质提高的一项措施。 由于存在一定的不公平性，引起社会的议论。</p><p>　　高考加分政策是指中央和地方教育主管部门、高校在高招录取中根据考生的种族、身份、德智体表现、竞赛获奖、社会贡献等情形制定的政策。高考承担着为高校选拔人才、推进中学素质教育和维护社会公平与稳定的职能，但对考生的道德、情感、个性、实践能力等无法进行充分的考查。对在道德品质、个性特长、社会贡献等方面有突出表现的考生实施加分政策，是对高考制度的重要补充。</p><p>　　我国的高考加分政策可分为以下三类：第一类加分对象主要包括少数民族学生、烈士子女、华侨、港澳台学生、报考农林地矿等艰苦行业高校者;第二类加分对象包括高中阶段参加青少年科技创新大赛或全国中学生学科奥林匹克竞赛获奖者、高中阶段获得重大国际体育比赛或全国性体育比赛获奖者与获国家二级运动员(含)以上称号者、获得优秀学生、三好学生、优秀学生干部称号者、高中阶段思想政治品德方面有突出事迹者(主要是见义勇为者)、荣立军功的退役军人、受政府表彰者;第三类是因特殊时期、地区或部门需要而制定的高考加分政策，例如非典期间医护人员的子女、三峡库区移民的子女、专家与博士人员的子女等高考加分政策。</p>
							</div>"
录取相关词条,保送生,"<div class=""baikeArticle"">
							<p>　　保送生无需参加高考，经学校推荐，即可进入大学就读。不同省份的保送生政策略有区别，一般省级优秀学生、高中阶段在全国中学生学科奥林匹克竞赛省级赛区中获得奖项以及获得全国决赛奖项的应届高中毕业生。以及一些外国语学校的学生都是保送的对象。</p>
							</div>"
录取相关词条,志愿调剂,"<div class=""baikeArticle"">
							<p>　　志愿调剂是指同一批次中非第一志愿的,平行的五或六个志愿:如果第一志愿落选则考虑调剂志愿.平行志愿是指同一批次中非第一志愿的,不分先后的五或六个志愿.还有如""第一专业""""第二专业""等。</p>
							</div>"
录取相关词条,文理兼招,"<div class=""baikeArticle"">
							<p>　　所谓文理兼招，即所设文科专业也招理科学生，包括中文、经济、法律、工商管理、信息管理等文科专业都招部分理科学生，但比例要比文科生少。 根据当年招生简章规定而定。文理兼招是高校为了改变生源的知识结构，适应专业文理交叉、边缘学科较多的特点而实行的一项改革。文理兼招不是指文、理科考生可以任意选报兼招的专业，而是必须根据各省级招办公布的各校招生计划，分别按专业的文、理科招生计划数填报。比如，法学专业就是文理兼招的专业，文科生、理科生均可报考，但前提是法学专业在考生所在省份同科类有相应的招生计划。</p>
							</div>"
录取相关词条,自主招生,"<div class=""baikeArticle"">
							<p>　　自主招生是中国高等教育招生改革扩大高校自主权的重要措施。自主招生选拔由高校自行组织，一般由笔试、面试两部分组成。通过自主招生选拔的考生必须参加高考(07年起上海地区考生通过复旦、上海交大的自主招生选拔后，高考成绩可仅作参考)，在高考录取时可获得20分或不等的优惠。</p><p>　　自从2003年开始，我国就通过实施高校自主招生探索人才选拔制度改革，允许部分高校拿出一定比例的招生名额，以选拔那些由高考不容易被发现的有特殊才能的学生。根据教育部要求，自主招生人数不能超过试自主招生面试点学校年度本科招生计划总数的5%。</p>
							</div>"
录取相关词条,调档比例,"<div class=""baikeArticle"">
							<p>　　调档比例，是指一个院校调阅考生电子档案数与计划招生数的比例，一般不超过120%。</p>
							</div>"
录取相关词条,统招,"<div class=""baikeArticle"">
							<p>　　统招起源于上个世纪七八十年代，初中毕业报考中专或高中毕业报考大学时对毕业生生源的一种定义，它是相对于当 时""委培""、""定向""及""自费""三种毕业生生源而言，统招就是""全国统一招生录取""，并享受国家补助待遇的新入学大学生的称谓。</p>
							</div>"
